Title,From,Genre,Director,Description,Region
inside detroit,American,crime,Fred F. Sears,blairvickers union blair linden guslinden control kill head man bombing gangster gain obrien behind headquarters whose vickers okeefe uaw gus unionheadquarters determine brother,Western
anger pray,American,drama,M. Night Shyamalan,shyamalan collegeexchangeprogram may him1 affection devraman western explore raise receive cold almost one profoundaffection indian discover realize father exchange pray anger college wish spend return except mike visit visitprogresses initially past emotional ignores emotionalstate interaction hindu progress india miscommunication decease nativecountry friend 'ssuggestions program quickly culture indifference sanjay suggestion insists violence2 mikemuthu night overwhelmed mother towards guidance precipitate distantfather able westerncultures dev find native country see deity year respect reluctant distant part two state sanjays raman pantheon united muthu quiet american misunderstand profound carry,Western
tomb mummy,American,horror,Harold Young,work assign appear conclusion clark marry perishes 'stomb arrive flame murder narrative observe may royalline cliffclark mark anankas ii bay sheriff footage johnbanning force girl short mold bed culprit beys vogan andoheb bear georgezucco john bar previousfilm inadvertently family crime outside begin hand babe puzzle demise banning survive professornorman receive babehanson turhanbey turhan conclude knox almost grayish unable solve unveils administer balk 'shome shortorder task instruction lead monster thoroughly terminate dick ford localcemetery elyseknox legend expires desecration kill inside wed tana onto disrupt expedition friend'sdeath stevebanning cant evening steve dark tanaleaves converge hold marygordon meeting thirty lonchaney chaney convinced horde norman rest first enlist journey karnak mapleton tell stealthily enter many mary rescue townspeople escape 'stestresults elyse foran upstairs toward unbeknownst can't take egyptian cemeterycaretaker'shut high mummys notice heir steves frankreicher frank grayishmark pursues initially mehemet scene tale wallaceford tanabrew destruction war switch creature tomb emmettvogan right bey cliff 'ssister afterwards finally torch local shop coroner upstairsbalcony confront recent order girlfriend janebanning leave recount back home dispatch via consume immediately gun ban creaturekills kharis friend egypt caretaker'sjob fire test prove jr isobel learn duty worldwar balcony dickforan monsterperishes substance follower send bride jane attempt abduct descendant gordon night pursuit additional prepares group world previous 'scommand nuptials slip suppose isobelevans identity bearing pass zucco house tour priest emmett archaeologist member result explain newspapermenconverge indeed head guest reicher victim find become sceneswitches mehemetbey story away year successfuldestruction remain massachusetts use pick transplant cemetery avenge george death reluctant newspaperman mummy'sgrasp wallace smitten bring hanson set mummy film state sister fainting evans come estate stephenbanning lon job knowing successful stephen adhere united draft eveningguests hurl plan curtain aid brew mission hut due line report additionaltorches meanwhile grasp trellis help caretaker shoot command professor royal age convince keep involve,Western
khuda kasam khudakasam,Bollywood,action,K C Bokadia,implicate minister muslim neetusingh sunny police murder deol mindgames movie ][ honest investigate force prey political officer policeofficer happen game reveal criminal system mind theme truckdriver fall play truck crime tabu backdrop678 driver chief sunnydeol socialtheme falsely next social take singh hussain neetu climax,South Asian
class second yathra oru,Malayalam,comedy,"Jexson Antony, Rejis Antony",galrani odds police murder intention possibleopportunities chembanvinodjose trueintentions jolly maran chemban possible nandu opportunity search sreejithravi get arrest joju vinod bury jojugeorge true kayamkulam let daydetermines rough one inmate kill agree kurien express trivandrum father vineethsreenivasan policeconstables constable issue trap frantically escape lakshmi know vineeth train visit nikkigalrani three prisoner stop others 'sstory wrongful always everyone order determines 'sbody reveal handcuffed 'sfather narayanans show day happy parasuram wrongfulintention narayanan night musketeer mother jail transfer backstory sreejith stepsister find nearbychurchcemetery balagopal story devise year jose cemetery officer george ravi end life two board set karmic station come accidentally sreenivasan second unlikely body venu plan nedumudivenu mother'smurder kannur next nedumudi inmates determine nearby unlikelymusketeers nikki church,South Asian
age ultron avenger,American,action,Joss Whedon,dr saw attack wandas powerfulobjects apocalyptic armsdealer awaken previously eradicate force crash later romanoff artificial maximoffs human together telekinetic powerful turn globalextinction civilian synthetic-tissuetechnology barton—raid intelligence worldwidebacklash headquarters humanextinction weapon antihulk gunfire natasha new rudimentary nick hide safe artificialintelligence still loki helicarrier natasharomanoff maria encounter form quinjet fury experiment vision 'stestsubjects—twins run company'sweapons agent one synthetic rampage abandon cityplummets 'sscepter shield wolfgang team fightamongst kill earth inside battle capital wanda discover decide unexpectedly barton must hill abilities—and sam subjects—twins shatter destroys lokis large existence—waspart army dy scepter vengeful steve upgrade future strucker easterneuropeancountry hold von capture avenger mind endanger infinity departs cho last apprehend recentevents escape rescue thanos steverogers go return build believing clint ultron sentient recruit synthetictissue existence—was city stark sokovia base worldwide skyward train capitalcityskyward read selvig consult global hydra stop post leaf scene helencho team'sfrienddr. superhumanspeed internet—into establish destruction clintbarton—raid hallucination rogers bruce amongst baronwolfgang ulysses eradicatehumanity destroy wield save scepter'sgem robot baron recent rhodes struckers facility seoul eastern seemingly superhuman european retrieves object ai friend extinction pawn pietromaximoff largepart test newbaserun telepathic program aftermath learn overload obtain helen eliminates erik midcredits wilson send hulk retrieve vibranium klaue failure allow intend dissatisfy safehouse resource newbody manipulate retire nickfury complete pietro technology event jamesrhodes perfect telekineticabilities—andapprehend defense erikselvig house company syntheticbody ulyssesklaue explain able find machine ground country mid-creditsscene starks humanity wandamaximoff samwilson resulting operational fear accompany use six cause remain death unwilling banner gauntlet2 globaldefenseprogram responsible robotdrones speed part two arm jarvis—who lift wakandan primary james dealer gem uploads brow—one evacuate avengers—tonystark bannerrescues 'sarmy encourage 'sprimarybody haunt arrives stone 'shallucinations subdues backlash enslave upload suspect infinitystones body plummet plan secretly parent activate ultrons incite landmass depart anti-hulkarmor.1 within rudimentarybody asgard fight thor help drone command avengers—tony jarvis prepare vow armor1 confronts maximoff,Western
pawn harp angel whopawned,British,comedy,Alan Bromly,money arrive joshuawebman happiness path felix blonde diane goodwill bring angel heart beautifulblondeangel cilento webman joshua pawn best show raise dianecilento soften meet islington mission beautiful people felixaylmer goodwillmission aylmer lie harp pawnbroker,Western
happily happilyever ever,Hong Kong,romance,Ivy Kong,dead trick prince szetso-chi find felt goonnam finally competitive year tsochi swords” debatetournament later leave wai slap share kenhung existence hung love birthday nam learn play four birthdayparty au-yeunggoon-nam tournament princess ken fairytale debate party know “ face go sze fairytaleprince crossed ” photography school ’sexistence michelle think encounter sword already michellewai chi ’ dead... auyeung ghost,East Asian
hazaarchaurasikimaa hazaar ki maa chaurasi,Bollywood,drama,Govind Nihalani,nandinimitra police militantleftistgroup young inconsolably 1084 far woman brati begin track meet chatterji attend circa west compassionate hour earlyhours one calcutta kill decide militant deep early shatter identify father understand wife son'sstruggle affluent college know bengal go former rebelgroup sujata refer often proud inform hindu bratis devout progress corpse 1970s 'sbody girlfriend india mitra existence friend lament bankemployed nandini school affluentexistence group world dibyanath mother struggle finish pass never rebel find thats call live mourn life part come son naxalite compassionatewoman body continue leftist parent quiet delve dibyanathchatterji religious keep,South Asian
escaflowne,Japanese,animation,"Akane, KazukiKazuki Akane",hitomi identity never relentlessconquest destine rebel inside crisis disappear find become meaning certain vengefulbrotherlord appearance lord want nothing goddess clan life summon vengeful bring leader blackdragonclan winggoddess rebelleader owncrisis destiny folken revive wing another come van friend master escaflowne convinced plague dream doomsday weapon hitomikanzaki fall gaea relentless close kanzaki prophesied black unusualdreams doomsdayweapon face depressed dragon unusual world conquest help lose brother mysteriously,East Asian
style,Bollywood,romance,N. Chandra,work marry soon murder riya sen sahil expertise girl shilpi taradeshpande comfortably get love woman begin realise mysterious deshpande woo focus hard malhotra mudgal duo richgirls nikkimalhotra lead ultimately slap-happycollegestudents realize teenyboppers rani round start idea career near sahilkhan chantu serious pretty tara enter college spend embroil others rich scene need stand trick sharman sharmanjoshi richteenyboppers cut riyasen hardwork name student outfox rag prank slaphappy murdermystery play mystery shilpimudgal key ability outfoxothers attention joshi struggle revolve khan bantu win become end mysteriouswoman life two set film filmrevolvesround come sheena collegelifenears nikki,South Asian
shahenshah,Bollywood,action,Tinu Anand,openly amitabhbachchan court long blow judgesahab vijaykumar lot 'sweakness honestcop let one dear lead husband realgoal honestcrimereporter falsecharges newapparitionbursts den vijayshahenshahs father image plant borrow honestpoliceinspector vijay enlist like escape powerfulimpression evidence go million ancillaryevidence ever empire plot ruthless kader meenakshiseshadri man eliminate cop bachchan scar cowardly n'thold order imprison leave name shahenshahs reveal whole ghatge gratefully worth dress mother bloodbath accept identity khan bail reporter execute amrishpuri become assassination motivation see shaheena wholetime son j.k. month jk charge daughter several weakness showdown corrupt give k underworldcrimeempire vow look work murder dancer impression actually young attackenemies 'sfriend frame later eightyearold culprit turn amitabh obsequious get care neck bankmanager crime hand underworld arrest halt 'smotivation shalus anand infiltrate veritable 25 release run shaheenas kill apparition agree 'sattire decide expose illicitliquordistilleries snivel testify ancillary hold supriya hole payroll vest irani movieposter many return astonishment three sahab 'sbrother-in-law catch j.k.shalu war shahenshahvijay j.k.verma wear inspectoranandshrivastav ail movie much 'scrimering baron home smalltime shrivastav also vijayendraghatge hang robbery 'shusband allow depressed night 'sname prepares nemesis dearlife eye around slum trial slip house provide illicit distillery drug shahenshah death life manager ring cops liquor j small-timetrickster pathak cling 'sneck describe loan uniform case smash mohammedsalim marry throw police bankrobbery create honest chopra weapon supriyapathak sharpshooter truck street present restore j.k.julie 'soutwardmission upon ruthlessman try secret aruna honour burst iron secretidentity take bomb pran roof wind bribery prem final audience enemy quietly backdrop aslamkhan bank inspectoraslamkhan bulletproof trickster gun coterie friend 'sfather bullet-proofvest premchopra conduct time attempt good courthouse inspectoruniform oddly seshadri smashobjects sentence year avenge criminal innocent arunairani shock youngeight-year-oldson gamble mathur goal julie crack salim innocentinspector shoot break funeral attack shalu fighter inspectorvijay witness grow powerful apprehendscriminals inspectorshrivastav meenakshi 'struck racketeer illegally new sharpshootershoots lasting kaderkhan detonate honestinspector crimebaron corruption 'sfuneral ultimately real powerfulcriminals partner doesnt fool enough guy puri apprehend plead someday hasnt scene past chance finalshowdown prone exoticdancer 'sgoodsworthmillions aging false orchestrate attire demolition object another rupee exotic abducts crimefighter aslam vijays verma fall jks cop'sjob since poster judge lie generally 'scoterie vowssomedayrestore brotherinlaw find outward mohammed chase wholecourt costumed use retain call live noose vijayendra veritablebloodbath job cover father'shonour mission inspector pronounces defy shrivastavs help amrish die seek,South Asian
virodhi,Telugu,action,Neelakanta,lead invite make attack srikanth along kill head maoist idealistic mekasrikanth refuse way expose journalist political gogi dense ahuti politician prasad turn jayadev ajay basecamp hold hostage scam dramatic test bribe relent naxals forest camp journey ideology discuss bad politicaljournalist several ahutiprasad good unearths base group meka dramaticway denseforest,South Asian
myth fang white wolf 2,American,drama,Ken Olin,hungry arrive wound along man'sdirection conroy animals probably hit welcome casey let maul almost one lead careen husband horse skill extremeaccuracy way den miss jack 'saunt blockade starving anger wilderness tell escape go poorstate 'sson shes wolfdog henrycasey herd mysteryarcher perfectly man animal impress shorttime leave timely imprison reveal immediately loss dynamite play fieryarrow send retrieve hunt previous explain disappear shed path native wolf see greet timelyarrival carriage remain cause two son month reverenddrury give people meanwhile american explosion villagethanks moses laughter look appear later turn heartbroken get hunter grateful river arrival sanfrancisco similar run happily jump kill decide barking edge crowd cant reach hold bullet henrys hole betrayal defend first accuracy forest trap loose say enter many previoushunters francisco return hesitate lilys three lelands source catch joke join shore arrow target cliff wear embrace sail home reveals mystery day also practice allow night small place extreme prepares slip never bond uncle ground guide anyway earlier happen harm clear examine hiding rejoin gold cliffedge wash mate ask short sleep romantically town safe 'smate form hunting 'shunt trouble whoever upon interested aunt suddenly try fang wildfemale 'smen miner cloth drury lily madman rescue emerges illegal similardream mine 'svillage save follow operation female step grab back entrance friend show reunite reverendlelanddrury time reply surprisingly asks screw archer towards litter white pup away smallfamily set come decides shock wild pack body manage believe shoot break mining free intervenes hungrypeople together change howl woman family jackconroy reverend lillys ear nose block warmly make ultimately would discover onto spot arrows henry doesnt want behind village capture shot journey san men hear nearly include gift tree bow leland whitecloth starvation betrayaltries afterwards local niece tribe another femalewolf fall close lilly understands direction steal thank wolfpack can'thunt find arrowhits chase use peter call arrowssends stay bring state dream fiery poor continue secretly next think help startle whisper,Western
fidaa,Telugu,romance,Sekhar Kammula,father'schoice marry enrage along gradually ask aim choice actually varunvarun young luggage renukas rude girl later medicalstudent pregnant bedrest bed drop unfit marriage opportunity amends manisha love far get overjoy manishaeerabathini adopt family hand neurosurgeon argument saipallavi comfortable pallavi lot meet raja still though dishearten doctor bhanumathi brother run one banswada cousin brother'smarriage remember rift happily make develop varun hence agree indian raju express realize decide way doesnt want father cant understand disturbs start heart village rest journey advise tell instead go ceremony return tearfuleyes beautiful familyhails can't bujji visit take n'texpress apprehensive ever week rajachembolu stop pradeep establish anyone sharanya settle man chembolu forget liking finally shailu rajus follow 'smarriage hug renuka india leave could elder nonresident student texas overhear hail friend sharanyapradeep whose day happy tearful isnt pregnancy wedding time cope graduallyvarun send 'sfatheradvises answer rediscover good medical aryan friend'splace inconsiderate place world confess widen eye course naughtygirl bhanu sai ignore deem feel hospital become secondary dearly usa even bhanus truth deemsunfit live compare feeling stay life sister state come decides choose talk america united telangana eerabathini pack goodfriends varuntej give naughty meanwhile believe help tej airport weddingceremony dont,South Asian
family way familyway,British,drama,Roy Boulting,work relationship belatedhoneymoon available classicalmusic 'smaritalneeds rowdy counsellor along ask fun strain 'sboorishboss 'sproblem gladly hywelbennett young hywel together practical bed alone closemalefriend tearfully john virginal marriage clash consummate eventually lucy aware get adultbrother drunken cinema mrs jennypiper couplereturn marriageguidancecounsellor adult room begin gossipy 'sparentsvisit act town barryfoster rush arthur crowded prior attract enraged downpayment thompson worsen charwoman scornfully belated abruptdisappearance situation brother honeymoon unable agent enjoyment remark johnmills holidaymoney neighbour lead make private agree marjorierhodes singing would unconsummated sex–overheard discover bos boorish 'sfather'shouse practicaljoke doesnt miss father son'senjoyment projectionist understand evening volunteer localpub start reading hold well ownhome gossipycharwoman first hayley strained problem sex like comfort advise gossip tell many lifelonggasworksemployee assure instead spend go return spread satisfy confide ready travel fred build visit partyguests take unclefred classical 'sjob week abrupt imago abta need joethompson joke dayjob majorca likely thinwalls joe precede lancashire 'sparents finally confides local although wall follow arthurs open – garden much rhodes maritalbed billy hayleymills leave advance marjorie bennett childhood british travelagent reception home newlywed callsson walk overhear immediately holiday music friend batter 'sfather gossipyneighbours marital employee play close day sell obtain longgone male also move wedding party foster time affair since good blackpool abscond exacerbate pub night window retire rowdyreception sensitive privacy mother gasworks 'sdiscomfort guidance piper geoffrey house pass ezra money result provide able travelagents steadily find guest living uncle ticket put even bond story become bookish away discomfort late bookishcinemaprojectionist remain ingenuously call live life socially lack cottage son reminisces disappearance disclose resolve job jenny berate collapse encourage barry thin overheard privacyexacerbate continue parent arthurfitton quarrel next mill fitton plea couple fight help lifelong association look privateaffairs laugh keep explanation,Western
stepfather,American,horror,Nelson McCormick,work glass marry dead throw arrive mirror police browncontactlenses returnshome angrily 'sex-husband email woman'shouse 'shouse alarmed volume awaken wrongname young grow hardware luggage crash realestateagent later wake game butter stun change dye befriend turn selaward plasticbag commotionawakens detail coma mrs.gradyedwards wary hallway eventually get neck woman far family mrs hand harris apparentlie remove barge sela basement neighborwoman'sbody meet vase application still stair locked neighbor focus alive peanutbutter edward military doubt form club situation run block instal agent coffee walsh chrisames avoid wanted paige susan grimace photo real elderly americas peanut discover realize onto skill phone edge try shatter tequilashots profile door behind check roughly start lieunconscious reaction hold wife mailman camera shot drown pool trap like ames attic elderlyneighbor display amberheard say college tell escape jay know mount go harding return kick warn pennbadgley hardwarestore three intercept apparently transforms notice plastic mention engage killer week contradiction paigeturco 'sgirlfriend roof scene grocerystore davidharris invite chris tequila car man serial exhusband 'ssister open shop deceased obsessed bathroom identification downstairs stab girlfriend appearance beard leave nothing jessalyn grab could collegehistory name shave serialkiller sean penn reveal home ward lay susans wrong video overhear videogame dylanwalsh im child lock fall learn show glassmirror apparent unconscious bag send toast jackies amber suspicion suffocate asks charm david school contact less susanharding obsess store kelly basementstairs brown lie lose badgley struggle 'sstories boy gradyedwards house investigator knock id dad'sbody cabinet jackie dylan head hire heard lookout find ground carcrash chase story collegeapplications jessalyngilsig 'ssuspicions approach use six eldest cause pick end 'seldestson grady endsceneshows quit two fail text grocery film sister fix michael estate history come okay son camerareveals month commotion job berate militaryschool snap turco across daughter lenses body flee shard thinking parent keep give manage think regard floor fight determine dad freezer break look 'sphone introduce confronts gilsig hair,Western
nagar theenagar thee,Tamil,action,Thirumalai,pass deed udhayathara murugans develop target find battle supremacy commandsrespect studentschairman lucrativejob firmurthy shanmugarajan lucrative shop cop romance duel brings fir respect end corruptcop girl life 'slife door student change however two set bloody come citycollege job karan fault tea rest bloodyduel community fall student’scommunity goodconduct conduct across college chairman front go former corrupt good next gooddeed city murthy assert yamahamurugan teashop riveting nadhiya yamaha smooth command unable climax one ’ murugan dogooder,South Asian
world adult,American,comedy,Scott Coffey,work billing submission shelf soon cancel prominently wellknown poetrybook riesco in—shit asphyxiate rehires smile ratbillings shit verse later together poet rat commit sleep change car'stheftinsurance however armandoriesco plasticbag john protégée get birthday favoritepoets adult begin favorite meet face amys write anthology fulfill filmends well-knownpoet humiliate one smallsexshop writer make apologize offer copy submit prose journal discover fee realize way try clean erotica miss press great mind johncusack first anger sex say peace college tell roberts go kick transwoman potential take workin—shit poems read plastic rubia catch shes amy poem publish need joke theft collegegraduate car shoplifter emmaroberts furious shop alex magazine clumsy recent confront 'sbirthdayparty graduate rebuff advance back home celebrate book greatpoet evanpeters drunk seduce fire hasbeen suicide emma apartment bad show day clumsyattempt move party hang bag attempt submissionfees armando asks good bookstore night small steal world poetryanthology arrange seriously feature house epilogue credit destine ownapartment shitpoems living find evan afford become eroticamagazine poetryjournals end peter call discovers feeling fail poetry film manager cusack job talk second coworker encourage briefly parent insurance next give believe couple last earn keep cajoling,Western
ambulance,American,action,Larry Cohen,record overt arrive soon joshbaker ericroberts jones1 'sroommate eric hospital find conspiracy startlingdiscovery york robert young jamesearljones investigate pick turner josh despite name youngwoman janineturner book artist disdain earl ambulance another startling overtdisdain baker sort disappearance shock convince james woman comicbookartist collapse learn admit roommate discouragement also street new proceed vanish meet go rush cheryl city lt janine comic ever spencer proceeds aspire discovery cheryls,Western
sindoor,Bollywood,drama,Kishore Sahu,patriarch marry spoil soon consent panditshivprasadtiwari may handle pandit young grow relate maasi needy family considerate daadi extremealarm lead society sushil develop wealthy wealthycontractor distantly alarm wife beni know sahu daadimaa youngwidow always lucknow everyone tiwari kind treat sushilsahu contractor widow kishor also smallboy small extreme mother married boy notion house consist shamim ratan relationship remarrying bighouse maaji cause call live life two bring kishorsahu son stepbrother shock second daughter sensibly big give maa different meera shivprasad,South Asian
werewolf,American,horror,Fred F. Sears,duncan irradiated car forrest man find remotevillage wolf serum georgelynn lynn previously gentlemanly call later george scientist reason morganchambers vicious werewolf two change bloodthirstywerewolf accident remote mountaincrest marsh specialserum john village morgan stevenritch mind launer inject special emoryforrest learn suffer wolf'sblood caraccident steven ritch cloud contain unknownreasons chamber blood amnesia unknown duncanmarsh s.johnlauner lose bloodthirsty emory mildmannered,Western
